Category,Step,Role,Reach,Loop_Count,Loop_Prob,Loop_Avg,One_Turn_Count,One_Turn_Pct,Multi_Turn_Count,Multi_Turn_Pct,Merge_Count,Merge_Prob,Unmerge_Count,Unmerge_Prob,Next_Role,Next_Count,Next_Prob
HRH,0,HC,116874,0,,,116874,100.0%,0,0.0%,0,,0,,H,116874,43.1%
HRH,1,H,116874,88919,,1.8,59696,51.1%,57178,48.9%,107573,92.0%,9070,7.8%,A,231,0.2%
HRH,2,A,231,3,,1.0,228,98.7%,3,1.3%,135,58.4%,36,15.6%,H,60,26.0%
ARH,0,HC,154469,0,,,154469,100.0%,0,0.0%,0,,0,,A,154469,56.9%
ARH,1,A,154469,46,,1.0,154429,>99.9%,40,<0.1%,110955,71.8%,20714,13.4%,H,22800,14.8%
ARH,2,H,22800,2332,,1.1,21212,93.0%,1588,7.0%,14035,61.6%,1088,4.8%,A,7677,33.7%
ARH,3,A,7677,72,,1.0,7605,99.1%,72,0.9%,6146,80.1%,723,9.4%,H,808,10.5%
ARH,4,H,808,65,,1.1,764,94.6%,44,5.4%,124,15.3%,7,0.9%,A,677,83.8%
ARH,5,A,677,7,,1.0,670,99.0%,7,1.0%,499,73.7%,55,8.1%,H,123,18.2%
